direccion,distrito,metraje,dormitorios,Precio Soles,Precio Dolares
Av Cipriano Dulanto 1351,"Pueblo Libre, Lima",38 a 104 m² tot.,1 a 3 dorm.,"261,780.00","70,751.35"
"Av. San Luis esquina Av. Angamos Este, esquina Av. Géminis, esquina Jr. Pablo Usandizaga","San Borja, Lima",37 a 115 m² tot.,1 a 2 dorm.,"297,000.00","80,270.27"
"Av Javier Prado Oeste 2291, Magdalena del Mar","Magdalena, Lima",41 a 126 m² tot.,1 a 3 dorm.,"385,000.00","104,054.05"
Esquina de Schell con Grimaldo del Solar,"Miraflores, Lima",64 a 131 m² tot.,2 a 3 dorm.,"652,702.00","176,405.95"
"Av. Los Faisanes 485, Chorrillos","Chorrillos, Lima",38 a 66 m² tot.,1 a 3 dorm.,"212,000.00","57,297.30"
Calle Las Palmeras 291. San Isidro,"Orrantia, San Isidro",40 a 81 m² tot.,1 a 3 dorm.,"354,859.00","95,907.84"
Avenida Cesar Vallejo 320,"S/n, Lince",21 a 119 m² tot.,1 a 3 dorm.,"219,600.00","59,351.35"
Avenida General Felipe Salaverry 571,"Jesús María, Lima",39 a 75 m² tot.,1 a 3 dorm.,"290,000.00","78,378.38"
"Calle Alcalá 468, Urb. Residencial La Castellana, distrito de Santiago de Surco","La Castellana, Santiago de Surco",95 a 153 m² tot.,2 a 4 dorm.,"649,762.00","173,270.00"
AV LUIS ALDANA 255,"Santa Catalina, La Victoria",38 a 76 m² tot.,1 a 2 dorm.,"366,000.00","98,918.92"
Calle Carlos Arrieta 271,"Barranco, Lima",40 a 88 m² tot.,1 a 2 dorm.,"370,830.00","98,888.00"
Av. Benavides 541 esquina con Alcanfores 495,"Leuro, Miraflores",50 a 214 m² tot.,1 a 3 dorm.,"402,375.00","107,300.00"
Av. 28 de julio 1365 miraflores,"San Antonio, Miraflores",87 a 178 m² tot.,3 dorm.,"750,000.00","200,000.00"
Av. Mariscal La Mar 1055 Miraflores,"Miraflores, Lima",42 a 137 m² tot.,1 a 3 dorm.,"507,000.00","130,000.00"
Ca. Las Acacias 263,"Malecon Armendariz, Miraflores",68 a 196 m² tot.,1 a 3 dorm.,"701,250.00","187,000.00"
"Av Javier Prado Oeste 650, Magdalena del Mar","Magdalena, Lima",100 m² tot.,3 dorm.,"579,000.00","158,000.00"
Penthouse 4 Dormitorios con Baño Incorporado Cada uno | 2 Terrazas | Cdra 3 Av Pedro Venturo,"Higuereta, Santiago de Surco",218 m² tot.,4 dorm.,"1,160,000.00","310,000.00"
Ingreso POR LAS Dunas,"La Planicie, La Molina",585 m² tot.,4 dorm.,"4,560,000.00","1,200,000.00"
Calle Fernandez Concha,"Miraflores, Lima",317 m² tot.,5 dorm.,"2,756,250.00","735,000.00"
Altura Av. Ayacucho con Doña Rosa,"Los Rosales - Ampliacion Etapa Ii, Santiago de Surco",197 m² tot.,4 dorm.,"1,098,200.00","289,000.00"
"La Floresta, Chacarilla, Surco","Chacarilla Del Estanque, Santiago de Surco",231 m² tot.,3 dorm.,"1,258,000.00","340,000.00"
Playa Gaviotas,"Las Gaviotas, Asia",199 m² tot.,4 dorm.,"1,184,000.00","320,000.00"
Calle Alfredo Salazar,"Santa Cruz, Miraflores",131 m² tot.,2 dorm.,"1,045,000.00","275,000.00"
Av. Ayacucho 274,"Santiago de Surco, Lima",159 m² tot.,3 dorm.,"732,600.00","198,000.00"
Avenida Simón Bolívar 959,"Pueblo Libre, Lima",38 a 89 m² tot.,1 a 3 dorm.,"239,080.00","64,616.22"
"Jr. Alfonso Ugarte & Jr. Arica, San Miguel","San Miguel, San Miguel",44 a 137 m² tot.,1 a 3 dorm.,"323,850.00","87,527.03"
