Tipo de Inmueble,Direccion,Area Construida,Area Total,Pisos,dormitorios,baños,Cochera,Precio Soles,Precio Dolares
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, San Miguel",Área Construida : 70.26 m²,Área Ocupada : 70.26 m²,Pisos : 13,Habitaciones : 2,Baños : 2,Cocheras : 0,"S/. 1,700.00",USD 456.00
CASA URBANA EN VENTA,"Lima, Lima, San Juan de Lurigancho",Área Terreno : 90.00 m2,Área Construida : 30.00 m²,Pisos : 2,Habitaciones : 5,Baños : 2,Cocheras : 0,"S/. 333,900.00","USD 90,000.00"
DEPARTAMENTO DUPLEX EN ALQUILER,"Lima, Lima, Miraflores",Área Construida : 144.00 m²,Área Ocupada : 144.00 m²,Pisos : 4,Habitaciones : 3,Baños : 3,Cocheras : 2,"S/. 8,162.00","USD 2,200.00"
CASA URBANA EN VENTA,"Lima, Lima, La Victoria",Área Terreno : 111.70 m2,Área Construida : 351.00 m²,Pisos : 3,Habitaciones : 10,Baños : 3,Cocheras : 0,"S/. 1'261,400.00","USD 340,000.00"
TERRENO INDUSTRIAL EN VENTA,"Piura, Paita, Colan",Área Terreno : 400.00 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 51,940.00","USD 14,000.00"
ALMACÉN EN ALQUILER,"Lima, Lima, Lince",Área Construida : 225.00 m²,Área Ocupada : 0 m²,Pisos : 1,Habitaciones : 3,Baños : 2,Cocheras : 0,"S/. 6,000.00","USD 1,612.00"
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Miraflores",Área Construida : 144.00 m²,Área Ocupada : 144.00 m²,Pisos : 4,Habitaciones : 3,Baños : 3,Cocheras : 2,"S/. 1'966,300.00","USD 530,000.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Santiago de Surco",Área Construida : 150.00 m²,Área Ocupada : 190.00 m²,Pisos : 1,Habitaciones : 3,Baños : 2,Cocheras : 1,"S/. 760,550.00","USD 205,000.00"
TERRENO URBANO EN VENTA,"Lima, Lima, La Molina",Área Terreno : 122.00 m2,Área Construida : 102.00 m²,Pisos : 1,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 481,929.00","USD 129,900.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Juan de Lurigancho",Área Construida : 144.00 m²,Área Ocupada : 144.00 m²,Pisos : 2,Habitaciones : 4,Baños : 1,Cocheras : 0,"S/. 363,580.00","USD 98,000.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Juan de Lurigancho",Área Construida : 30.00 m²,Área Ocupada : 30.00 m²,Pisos : 4,Habitaciones : 1,Baños : 1,Cocheras : 0,"S/. 100,170.00","USD 27,000.00"
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Borja",Área Construida : 119.00 m²,Área Ocupada : 123.00 m²,Pisos : 2,Habitaciones : 3,Baños : 2,Cocheras : 3,"S/. 816,200.00","USD 220,000.00"
TERRENO URBANO EN VENTA,"Piura, Piura, Piura",Área Terreno : 200.00 m2,Área Construida : 0.00 m²,Pisos : 0,Habitaciones : 0,Baños : 0,Cocheras : 0,"S/. 234,000.00","USD 62,903.00"
CASA URBANA EN VENTA,"Lima, Lima, La Molina",Área Terreno : 122.00 m2,Área Construida : 102.00 m²,Pisos : 1,Habitaciones : 3,Baños : 2,Cocheras : 0,"S/. 481,929.00","USD 129,900.00"
