tipo_de_inmueble,direccion,area_construida,area_total,pisos,dormitorios,baños,cochera,precio_soles,precio_dolares
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, San Miguel",70.26,70.26,13,2,2,0,1700,456
CASA URBANA EN VENTA,"Lima, Lima, San Juan de Lurigancho",90.0,30.0,2,5,2,0,333900,90000
DEPARTAMENTO DUPLEX EN ALQUILER,"Lima, Lima, Miraflores",144.0,144.0,4,3,3,2,8162,2200
CASA URBANA EN VENTA,"Lima, Lima, La Victoria",111.7,351.0,3,10,3,0,1261400,340000
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Miraflores",144.0,144.0,4,3,3,2,1966300,530000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Santiago de Surco",150.0,190.0,1,3,2,1,760550,205000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Juan de Lurigancho",144.0,144.0,2,4,1,0,363580,98000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Juan de Lurigancho",30.0,30.0,4,1,1,0,100170,27000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Borja",119.0,123.0,2,3,2,3,816200,220000
CASA URBANA EN VENTA,"Lima, Lima, La Molina",122.0,102.0,1,3,2,0,481929,129900
DEPARTAMENTO EN VENTA,"Lima, Lima, Miraflores",104.69,104.69,0,3,3,1,723450,195000
CASA URBANA EN VENTA,"Lambayeque, Chiclayo, Pimentel",125.0,375.0,3,10,5,0,600000,161290
MINIDEPARTAMENTO EN ALQUILER,"Piura, Piura, Piura",56.51,56.51,4,2,2,0,800,215
DEPARTAMENTO FLAT EN VENTA,"La Libertad, Trujillo, Trujillo",85.0,85.0,3,3,3,1,445200,120000
DEPARTAMENTO EN VENTA,"Lima, Lima, Lince",61.24,61.24,4,2,2,1,519400,140000
CASA EN VENTA,"Lima, Lima, Independencia",200.0,300.0,2,0,0,0,575050,155000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Surquillo",62.98,62.98,5,2,1,1,352450,95000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Santiago de Surco",113.0,113.0,4,3,2,1,649250,175000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, San Martin de Porres",80.0,80.0,5,3,1,0,1000,268
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Lima",78.74,123.58,4,3,1,0,315350,85000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Jesus Maria",141.0,152.0,2,3,2,0,2500,672
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Lima",54.0,54.0,11,2,2,1,1800,483
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, San Juan de Miraflores",56.0,56.0,3,2,1,0,1000,268
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Miraflores",120.0,120.0,4,3,2,1,3710,1000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Los Olivos",87.02,87.02,4,3,2,0,278250,75000
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Lurigancho",87.27,87.27,1,2,2,0,270792,72990
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Pueblo Libre",121.18,121.18,7,3,2,0,2690,723
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Miraflores",68.08,68.08,4,2,2,0,2800,752
DEPARTAMENTO FLAT EN ALQUILER,"Piura, Piura, Veintiseis de Octubre",96.11,96.11,1,3,1,1,1800,483
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Surquillo",80.42,80.42,4,2,2,1,426650,115000
DEPARTAMENTO FLAT EN ALQUILER,"La Libertad, Trujillo, Trujillo",172.5,172.5,2,8,5,0,4452,1200
CASA EN VENTA,"Lima, Lima, La Molina",602.2,355.18,3,5,2,6,2949450,795000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Santiago de Surco",65.0,65.0,3,2,2,1,2400,645
CASA EN VENTA,"Lambayeque, Chiclayo, José Leonardo Ortiz",161.07,358.59,2,7,3,2,480000,129032
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Villa María del Triunfo",80.0,80.0,3,2,2,0,850,228
DEPARTAMENTO EN VENTA,"Lima, Lima, Punta Hermosa",92.26,92.26,1,3,2,0,519400,140000
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Villa María del Triunfo",43.0,43.0,2,2,1,0,650,174
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Miraflores",64.0,64.0,3,2,2,1,2597,700
DEPARTAMENTO EN CONDOMINIO EN VENTA,"Lima, Lima, San Miguel",82.0,82.0,2,3,2,1,482,130
CASA EN VENTA,"Lima, Lima, San Isidro",518.0,531.0,3,4,4,2,4785900,1290000
DEPARTAMENTO EN VENTA,"Lima, Lima, Lince",57.75,57.75,10,2,2,0,400000,107526
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Miraflores",60.0,60.0,3,2,21,1,2578,695
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Chaclacayo",83.3,83.3,0,3,2,1,1500,403
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Barranco",50.0,55.0,4,1,2,1,2350,631
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Comas",50.0,50.0,3,2,1,0,850,228
CASA URBANA EN VENTA,"Lima, Lima, Villa María del Triunfo",213.0,100.0,1,3,2,3,519400,140000
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, San Isidro",150.75,216.35,7,3,3,2,1480290,399000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, San Miguel",54.0,54.0,8,2,2,0,1600,430
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Ate",90.28,90.28,2,3,1,0,241150,65000
CASA EN VENTA,"Lima, Lima, La Molina",602.2,355.18,3,5,2,6,2949450,795000
DEPARTAMENTO EN VENTA,"Lima, Lima, Lince",57.75,57.75,10,2,2,0,400000,107526
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Surquillo",80.42,80.42,4,2,2,1,426650,115000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Miraflores",64.0,64.0,3,2,2,1,2597,700
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Los Olivos",71.97,71.97,5,3,2,0,426650,115000
DEPARTAMENTO FLAT EN VENTA,"Lima, Prov. Const. Del Callao, Callao",112.0,112.0,2,4,2,0,333900,90000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Barranco",52.0,52.0,7,2,2,1,2800,752
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Comas",50.0,50.0,3,2,1,0,850,228
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Los Olivos",81.5,81.5,5,3,2,0,463750,125000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, San Miguel",54.0,54.0,8,2,2,0,1600,430
DEPARTAMENTO EN ALQUILER,"Lima, Lima, Chaclacayo",83.3,83.3,0,3,2,1,1500,403
CASA EN VENTA,"Lambayeque, Chiclayo, José Leonardo Ortiz",161.07,358.59,2,7,3,2,480000,129032
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Los Olivos",71.97,71.97,2,3,2,0,426650,115000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Lince",82.0,82.0,5,2,2,1,686350,185000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Villa María del Triunfo",80.0,80.0,3,2,2,0,850,228
DEPARTAMENTO EN ALQUILER,"Arequipa, Arequipa, Jose Luis Bustamante Y Rivero",100.0,100.0,3,3,3,0,1500,403
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Surquillo",70.9,70.9,7,3,2,0,474880,128000
DEPARTAMENTO FLAT EN VENTA,"Lima, Prov. Const. Del Callao, Bellavista",72.0,72.0,3,2,2,0,204050,55000
CASA EN VENTA,"Lima, Lima, Comas",150.0,600.0,2,4,4,0,185500,50000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Borja",94.06,94.06,5,3,2,0,445200,120000
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Lurigancho",87.27,87.27,1,2,2,0,270792,72990
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Miraflores",120.0,120.0,4,3,2,1,3710,1000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Surquillo",70.9,70.9,7,3,2,0,474880,128000
DEPARTAMENTO EN VENTA,"Lima, Lima, San Borja",131.02,131.02,5,3,2,2,1072190,289000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Santiago de Surco",113.0,113.0,4,3,2,1,649250,175000
DEPARTAMENTO FLAT EN VENTA,"La Libertad, Trujillo, Trujillo",85.0,85.0,3,3,3,1,445200,120000
DEPARTAMENTO FLAT EN VENTA,"Lambayeque, Chiclayo, Chiclayo",60.76,60.76,3,2,1,0,185500,50000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Santiago de Surco",65.0,65.0,3,2,2,1,2400,645
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, San Juan de Miraflores",56.0,56.0,3,2,1,0,1000,268
CASA URBANA EN VENTA,"Lambayeque, Chiclayo, Pimentel",125.0,375.0,3,10,5,0,600000,161290
CASA EN VENTA,"Lima, Lima, Independencia",200.0,300.0,2,0,0,0,575050,155000
DEPARTAMENTO EN ALQUILER,"Lima, Lima, San Borja",120.0,120.0,2,3,2,1,5194,1400
DEPARTAMENTO EN CONDOMINIO EN VENTA,"Lima, Lima, Santiago de Surco",74.57,74.57,15,3,2,2,408100,110000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, San Borja",94.06,94.06,5,3,2,0,445200,120000
CASA URBANA EN VENTA,"Arequipa, Arequipa, Cerro Colorado",120.0,211.47,3,6,5,1,742000,200000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Miraflores",68.08,68.08,4,2,2,0,2800,752
