direccion,distrito,metraje,dormitorios,precio
Av. Javier Prado Oeste 2165 - 2177,"Orrantia, San Isidro",67 a 153 m² tot.,1 a 3 dorm.,"S/ 572,672 · USD 152,712"
Paseo de la República 6349,"San Antonio, Miraflores",122 a 256 m² tot.,2 a 3 dorm.,"S/ 919,363 · USD 245,945"
jr fernando castrat 100,"Santiago de Surco, Lima",80 a 144 m² tot.,2 a 4 dorm.,"S/ 688,149 · USD 176,448"
NULL,NULL,NULL,NULL,NULL
Av. Juan de Arona 110,"San Isidro, Lima",46 a 61 m² tot.,1 a 2 dorm.,"S/ 2,900 · USD 760"
Av. Juan de Arona 110,"San Isidro, Lima",46 a 60 m² tot.,1 a 2 dorm.,"S/ 2,900 · USD 760"
Jr.echenique 600 Magdalena,"Magdalena, Lima",80 m² tot.,2 dorm.,"S/ 2,500 · USD 672"
NULL,NULL,NULL,NULL,NULL
Av San Luis,"San Borja Norte, San Borja",180 m² tot.,6 dorm.,"S/ 15,500 · USD 3,999"
"Av sergio bernales, Surquillo","Barrio Medico, Surquillo",60 m² tot.,2 dorm.,"S/ 2,500 · USD 679"
Calle Padre Luis Tezza 139,"Santiago de Surco, Lima",72 m² tot.,1 dorm.,"S/ 1,800 · USD 465"
Calle Borgoño 300,"Miraflores, Lima",99 m² tot.,3 dorm.,"S/ 5,625 · USD 1,500"
Av. Argentina 1653,"Callao, Callao",71 m² tot.,3 dorm.,"S/ 1,400"
Av. El sol 965,"Chorrillos, Lima",57 m² tot.,2 dorm.,"S/ 1,500"
Exclusivo Flat Full Amoblado con una Amplia Terraza con Vista al Mar,"Malecon Reserva, Miraflores",230 m² tot.,3 dorm.,"S/ 7,500 · USD 2,000"
Av Sergio Bernales,"Surquillo, Lima",98 m² tot.,3 dorm.,"S/ 3,020 · USD 800"
Calle La Florida 155,"San Isidro, Lima",53 m² tot.,1 dorm.,"S/ 2,800 · USD 740"
Jr Rodolfo Rutten al 310,"Lima, Lima",130 m² tot.,2 dorm.,"S/ 3,000 · USD 800"
AV. EL SOL,"Antonio Raimondi, Barranco",82 m² tot.,1 dorm.,"S/ 2,850 · USD 750"
"Malecón Pazos, Barranco, Perú","Barranco, Lima",270 m² tot.,3 dorm.,"S/ 12,025 · USD 3,250"
Av Belen 1xx,"San Isidro, Lima",128 m² tot.,2 dorm.,"S/ 4,810 · USD 1,300"
Urbanización lima polo Surco,"Santiago de Surco, Lima",230 m² tot.,3 dorm.,"S/ 6,341 · USD 1,700"
Calle Casimiro Ulloa,"Miraflores, Lima",93 m² tot.,2 dorm.,"S/ 3,000 · USD 800"
Calle Lòpez de Ayala 753,"San Borja, Lima",90 m² tot.,4 dorm.,"S/ 5,580 · USD 1,500"
Av. San Martín 625,"Barranco, Lima",37 m² tot.,1 dorm.,"S/ 2,065 · USD 550"
San Antonio,"San Antonio, Miraflores",320 m² tot.,4 dorm.,"S/ 18,500 · USD 930,000"
Malecón La Marina S/N,"Miraflores, Lima",113 m² tot.,2 dorm.,"S/ 5,984 · USD 1,600"
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
Av. Arequipa,"Miraflores, Lima",126 m² tot.,2 dorm.,"S/ 3,728 · USD 980"
PARQUE ARMENDARIS,"Miraflores, Lima",105 m² tot.,2 dorm.,"S/ 5,500 · USD 1,500"
AV EL SOL,"Tejadita, Barranco",82 m² tot.,1 dorm.,"S/ 2,800 · USD 750"
NULL,NULL,NULL,NULL,NULL
C. Los Castaños&Av Javier Prado Oeste,"Country Club, San Isidro",248 m² tot.,3 dorm.,"S/ 5,800 · USD 1,500"
Av. Reducto al 800,"Miraflores, Lima",54 m² tot.,1 dorm.,"S/ 2,850 · USD 750"
Av Belen 1xx,"San Isidro, Lima",128 m² tot.,2 dorm.,"S/ 4,810 · USD 1,300"
NULL,NULL,NULL,NULL,NULL
Monte Ebano 356,"Santiago de Surco, Lima",129 m² tot.,3 dorm.,"S/ 2,500"
"General Vidal 140, Miraflores","Miraflores, Lima",95 m² tot.,2 dorm.,"S/ 3,600 · USD 950"
Se Alquila Moderno Departamento 2 Habitaciones + Cochera Av. Primavera al 2000,"Monterrico, Santiago de Surco",57 m² tot.,2 dorm.,"S/ 3,500 · USD 940"
AV PEZET 600,"Golf, San Isidro",650 m² tot.,4 dorm.,"S/ 38,705 · USD 9,950"
AV. PROCERES,"Sagitario, Santiago de Surco",120 m² tot.,3 dorm.,"S/ 1,850 · USD 480"
MALECON RESERVA 441,"Malecon Reserva, Miraflores",190 m² tot.,3 dorm.,"S/ 13,475 · USD 3,500"
Toquepala,"Tambo De Monterrico, Santiago de Surco",192 m² tot.,3 dorm.,"S/ 6,300 · USD 1,700"
Calle Berlin 644,"Miraflores, Lima",98 m² tot.,2 dorm.,"S/ 4,940 · USD 1,300"
"Calle Machaypuito, San Isidro al 100","San Isidro, Barranca",110 m² tot.,2 dorm.,"S/ 5,225 · USD 1,400"
alameda del sereno,"Chorrillos, Lima",348 m² tot.,4 dorm.,"S/ 10,260 · USD 2,700"
Tomas Edison,"San Isidro, Lima",720 m² tot.,7 dorm.,"S/ 25,900 · USD 7,000"
Calle Casimiro Ulloa,"Miraflores, Lima",93 m² tot.,2 dorm.,"S/ 3,000 · USD 800"
Parque El Carmen,"Pueblo Libre, Lima",70 m² tot.,2 dorm.,"S/ 2,000"
"Av. Reducto 1323, Miraflores","Aurora, Miraflores",78 m² tot.,2 dorm.,"S/ 2,775 · USD 750"
MALECON DE LA RESERVA,"Miraflores, Lima",180 m² tot.,3 dorm.,"S/ 4,500 · USD 1,200"
Alquilo Cruce Escardo con Precursores Dpto 2 Dormitorios Grandes 1*1,"San Miguel, Lima",60 m² tot.,2 dorm.,"S/ 1,400 · USD 376"
"Av. San Martín, Barranco, Perú","Barranco, Lima",81 m² tot.,1 dorm.,"S/ 3,188 · USD 850"
"PARQUE FRANCISCO GRAÑA, MAGDALENA","Magdalena, Lima",166 m² tot.,2 dorm.,"S/ 8,118 · USD 2,200"
MONTEMAR 160,"Chacarilla Del Estanque, Santiago de Surco",124 m² tot.,3 dorm.,"S/ 6,128 · USD 320,000"
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
"Calle Machaypuito, San Isidro al 100","San Isidro, Barranca",79 m² tot.,2 dorm.,"S/ 4,506 · USD 1,200"
PARQUE DAMMERT,"Country Club, San Isidro",145 m² tot.,3 dorm.,"S/ 4,436 · USD 1,199"
"Manuel Arce de la Oliva 123, Cerca al Wong de la Aurora","Aurora, Miraflores",122 m² tot.,3 dorm.,"S/ 3,800 · USD 1,000"
NULL,NULL,NULL,NULL,NULL
Calle Porta al 100,"Miraflores, Lima",104 m² tot.,3 dorm.,"S/ 3,727 · USD 1,000"
Entre Sucre y Brasil | Triplex con Parrilla y Terraza Amplia,"Magdalena, Lima",94 m² tot.,2 dorm.,"S/ 2,580 · USD 680"
Lizardo Alzamora Oeste,"San Isidro, Lima",250 m² tot.,3 dorm.,"S/ 9,990 · USD 2,700"
NULL,NULL,NULL,NULL,NULL
Manuel Tovar 340,"Miraflores, Lima",140 m² tot.,5 dorm.,"S/ 3,885 · USD 1,050"
Calle José Gomez 395 San Isidro,"San Isidro, Lima",365 m² tot.,4 dorm.,"S/ 11,250 · USD 780,000"
LAS MIMOSAS,"Barranco, Lima",145 m² tot.,3 dorm.,"S/ 4,440 · USD 1,200"
Av Jose Galvez Barrenechea,"Corpac, San Isidro",120 m² tot.,2 dorm.,"S/ 2,550"
